key,name,description,pagelink,downloadlink
humanT2T,chm13v2.0_noY.fa.gz,telomere to telomere assembly without the Y chromosome,https://github.com/marbl/CHM13,https://s3-us-west-2.amazonaws.com/human-pangenomics/T2T/CHM13/assemblies/analysis_set/chm13v2.0_noY.fa.gz
humanGRCh38,GCF_000001405.40,GRCh38 RefSeq genome (patch 14) (not an analysis set),https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000001405.40/,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.40_GRCh38.p14/GCF_000001405.40_GRCh38.p14_genomic.fna.gz
humanAsh,GCA_011064465.2,Ashkenazi Human Reference Genome,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_011064465.2/,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/064/465/GCA_011064465.2_Ash1_v2.2/GCA_011064465.2_Ash1_v2.2_genomic.fna.gz
humanPR,GCA_018873775.2,Reference Quality Puerto-Rican Genome,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_018873775.2/,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/873/775/GCA_018873775.2_hg01243.v3.0/GCA_018873775.2_hg01243.v3.0_genomic.fna.gz
humanCAAPA,GCA_003610035.2,Pangenome representing genomic regions from African-Ancestry Populations in the Americas that are not present in GRCh38,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_003610035.2/,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/610/035/GCA_003610035.2_CAAPA_Pan-Genome/GCA_003610035.2_CAAPA_Pan-Genome_genomic.fna.gz
ebv,GCF_002402265.1,ebv RefSeq reference genome,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002402265.1/,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/402/265/GCF_002402265.1_ASM240226v1/GCF_002402265.1_ASM240226v1_genomic.fna.gz
hpv16,GCF_000863945.3,hpv16 RefSeq reference genome,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000863945.3/,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/863/945/GCF_000863945.3_ViralProj15505/GCF_000863945.3_ViralProj15505_genomic.fna.gz
hpv18,GCF_000865665.1,hpv18 RefSeq reference genome,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000865665.1/,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/865/665/GCF_000865665.1_ViralProj15506/GCF_000865665.1_ViralProj15506_genomic.fna.gz
hpylori,GCF_000307795.1,hpylori RefSeq reference genome,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000307795.1/,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/795/GCF_000307795.1_ASM30779v1/GCF_000307795.1_ASM30779v1_genomic.fna.gz
gdc_grch38_d1_vd1,GRCh38.d1.vd1,GDC GRch38 noalt analysis set with sequence decoys GCA_000786075 and viral sequences,https://gdc.cancer.gov/about-data/gdc-data-processing/gdc-reference-files,https://api.gdc.cancer.gov/data/254f697d-310d-4d7d-a27b-27fbf767a834
